2025-05-03 10:46:50,977 - app - INFO - Starting Course Exam Generator application - [app.py:19]
2025-05-03 10:46:50,978 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/__pycache__/__init__.cpython-310.pyc', wd=15, mask=IN_OPEN, cookie=0, name='__init__.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:50,979 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/__pycache__/__init__.cpython-310.pyc', wd=15, mask=IN_CLOSE_NOWRITE, cookie=0, name='__init__.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:50,980 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name='src'> - [inotify_buffer.py:52]
2025-05-03 10:46:50,980 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src', wd=2, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:50,981 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name='src'> - [inotify_buffer.py:52]
2025-05-03 10:46:50,982 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src', wd=2, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:50,982 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/ingestion/__pycache__/__init__.cpython-310.pyc', wd=23, mask=IN_OPEN, cookie=0, name='__init__.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:50,983 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/ingestion/__pycache__/__init__.cpython-310.pyc', wd=23, mask=IN_CLOSE_NOWRITE, cookie=0, name='__init__.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:50,983 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/ingestion', wd=2, mask=IN_ISDIR|IN_OPEN, cookie=0, name='ingestion'> - [inotify_buffer.py:52]
2025-05-03 10:46:50,984 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/ingestion', wd=12, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:50,985 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/ingestion', wd=2, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name='ingestion'> - [inotify_buffer.py:52]
